Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Expiry
120,AAPL170224P00120000,0.02,0.01,0.03,-0.01,-33.33%,458,"3,481",42.58%,Put,2017/2/24
121,AAPL170224P00121000,0.02,0.01,0.03,-0.02,-50.00%,200,"3,578",40.23%,Put,2017/2/24
122,AAPL170224P00122000,0.02,0.01,0.02,-0.01,-33.33%,525,"3,661",35.94%,Put,2017/2/24
123,AAPL170224P00123000,0.02,0.01,0.03,-0.02,-50.00%,220,"1,566",35.16%,Put,2017/2/24
124,AAPL170224P00124000,0.03,0.02,0.03,-0.03,-50.00%,325,"1,987",32.81%,Put,2017/2/24
125,AAPL170224P00125000,0.02,0.02,0.03,-0.03,-60.00%,179,"1,120",30.08%,Put,2017/2/24
126,AAPL170224P00126000,0.03,0.02,0.03,-0.03,-50.00%,683,"1,335",27.74%,Put,2017/2/24
127,AAPL170224P00127000,0.04,0.03,0.04,-0.03,-42.86%,"1,235","1,361",26.17%,Put,2017/2/24
128,AAPL170224P00128000,0.04,0.03,0.05,-0.04,-50.00%,547,"1,945",24.41%,Put,2017/2/24
129,AAPL170224P00129000,0.06,0.04,0.06,-0.05,-45.45%,672,"2,825",22.46%,Put,2017/2/24
130,AAPL170224P00130000,0.06,0.06,0.07,-0.09,-60.00%,"3,402","3,710",20.31%,Put,2017/2/24
131,AAPL170224P00131000,0.1,0.09,0.1,-0.11,-52.38%,"1,241","2,638",18.75%,Put,2017/2/24
132,AAPL170224P00132000,0.14,0.14,0.16,-0.18,-56.25%,"6,271","2,605",17.63%,Put,2017/2/24
133,AAPL170224P00133000,0.25,0.23,0.26,-0.24,-48.98%,"3,356","4,260",16.55%,Put,2017/2/24
134,AAPL170224P00134000,0.43,0.41,0.45,-0.32,-42.67%,"2,967","4,171",15.99%,Put,2017/2/24
135,AAPL170224P00135000,0.73,0.69,0.75,-0.42,-36.52%,"8,156","6,576",15.48%,Put,2017/2/24
136,AAPL170224P00136000,1.19,1.15,1.22,-0.5,-29.59%,"2,493","1,681",15.45%,Put,2017/2/24
137,AAPL170224P00137000,1.85,1.76,1.9,-0.46,-19.91%,552,"1,273",16.46%,Put,2017/2/24
138,AAPL170224P00138000,2.8,2.52,2.72,-0.25,-8.20%,249,332,18.12%,Put,2017/2/24
139,AAPL170224P00139000,3.64,3.35,3.65,-0.31,-7.85%,5,99,20.80%,Put,2017/2/24
140,AAPL170224P00140000,4.58,4.25,4.55,-0.17,-3.58%,11,15,22.12%,Put,2017/2/24
141,AAPL170224P00141000,5.62,5.25,5.6,-0.71,-11.22%,25,5,26.81%,Put,2017/2/24
145,AAPL170224P00145000,9.55,9.2,9.45,0.05,0.53%,5,15,33.89%,Put,2017/2/24
45,AAPL170317P00045000,0.01,0,0,0,0.00%,0,0,50.00%,Put,2017/3/17
47.5,AAPL170317P00047500,0.03,0,0.04,-0.04,-57.14%,12,223,135.94%,Put,2017/3/17
50,AAPL170317P00050000,0.02,0,0.07,0,0.00%,"1,000","1,625",137.50%,Put,2017/3/17
55,AAPL170317P00055000,0.04,0.05,0.06,-0.01,-20.00%,2,895,131.25%,Put,2017/3/17
60,AAPL170317P00060000,0.02,0,0.02,0,0.00%,1,"10,346",100.00%,Put,2017/3/17
65,AAPL170317P00065000,0.02,0.01,0.03,-0.01,-33.33%,100,911,96.88%,Put,2017/3/17
70,AAPL170317P00070000,0.02,0,0.01,0,0.00%,30,"2,282",78.13%,Put,2017/3/17
75,AAPL170317P00075000,0.01,0,0.02,0,0.00%,15,"2,824",75.00%,Put,2017/3/17
80,AAPL170317P00080000,0.01,0,0.01,0,0.00%,100,"4,336",62.50%,Put,2017/3/17
82.5,AAPL170317P00082500,0.01,0,0.01,0,0.00%,11,"1,826",59.38%,Put,2017/3/17
85,AAPL170317P00085000,0.01,0,0.01,0,0.00%,12,"8,619",56.25%,Put,2017/3/17
87.5,AAPL170317P00087500,0.01,0,0.01,0,0.00%,70,"2,101",53.13%,Put,2017/3/17
90,AAPL170317P00090000,0.01,0,0,0,0.00%,504,0,25.00%,Put,2017/3/17
92.5,AAPL170317P00092500,0.01,0,0,0,0.00%,20,0,25.00%,Put,2017/3/17
95,AAPL170317P00095000,0.01,0,0.01,-0.01,-50.00%,20,"11,060",46.09%,Put,2017/3/17
97.5,AAPL170317P00097500,0.01,0,0.01,-0.01,-50.00%,2,"4,205",42.97%,Put,2017/3/17
100,AAPL170317P00100000,0.01,0,0.01,-0.01,-50.00%,387,"31,871",39.84%,Put,2017/3/17
105,AAPL170317P00105000,0.02,0.01,0.02,-0.01,-33.33%,302,"15,574",36.72%,Put,2017/3/17
110,AAPL170317P00110000,0.03,0.03,0.04,-0.02,-40.00%,242,"26,753",33.59%,Put,2017/3/17
115,AAPL170317P00115000,0.06,0.05,0.06,-0.02,-25.00%,916,"29,359",28.71%,Put,2017/3/17
120,AAPL170317P00120000,0.1,0.1,0.11,-0.02,-16.67%,176,"36,784",24.61%,Put,2017/3/17
125,AAPL170317P00125000,0.22,0.21,0.22,-0.06,-21.43%,"1,279","22,795",20.41%,Put,2017/3/17
130,AAPL170317P00130000,0.64,0.62,0.64,-0.13,-16.88%,"4,068","43,702",17.60%,Put,2017/3/17
135,AAPL170317P00135000,2,2,2.01,-0.37,-15.61%,"8,111","31,889",16.02%,Put,2017/3/17
140,AAPL170317P00140000,5.1,5,5.1,-0.45,-8.11%,279,"6,204",15.86%,Put,2017/3/17
145,AAPL170317P00145000,9.7,9.35,9.6,-0.2,-2.02%,153,140,18.65%,Put,2017/3/17
150,AAPL170317P00150000,14.75,14.3,14.55,0,0.00%,70,382,24.37%,Put,2017/3/17
155,AAPL170317P00155000,21.4,0,0,0,0.00%,4,0,0.00%,Put,2017/3/17
25,AAPL170721P00025000,0.02,0,0.02,0,0.00%,5,5,85.94%,Put,2017/7/21
30,AAPL170721P00030000,0.03,0,0.04,0,0.00%,17,75,81.25%,Put,2017/7/21
35,AAPL170721P00035000,0.04,0.01,0.05,0,0.00%,6,363,76.17%,Put,2017/7/21
40,AAPL170721P00040000,0.04,0.03,0.1,0,0.00%,52,360,74.80%,Put,2017/7/21
45,AAPL170721P00045000,0.04,0,0.04,0,0.00%,4,165,60.16%,Put,2017/7/21
50,AAPL170721P00050000,0.02,0,0.02,-0.08,-80.00%,50,20,51.56%,Put,2017/7/21
55,AAPL170721P00055000,0.06,0.05,0.07,0,0.00%,10,511,55.66%,Put,2017/7/21
60,AAPL170721P00060000,0.02,0,0.03,0,0.00%,10,926,46.88%,Put,2017/7/21
65,AAPL170721P00065000,0.01,0,0.03,0,0.00%,5,881,42.58%,Put,2017/7/21
70,AAPL170721P00070000,0.03,0.03,0.05,-0.02,-40.00%,30,"1,322",40.82%,Put,2017/7/21
75,AAPL170721P00075000,0.04,0,0.05,0.01,33.33%,15,"2,244",36.91%,Put,2017/7/21
80,AAPL170721P00080000,0.04,0.03,0.05,0,0.00%,212,"2,339",33.20%,Put,2017/7/21
85,AAPL170721P00085000,0.06,0.06,0.08,-0.01,-14.29%,5,"1,132",31.45%,Put,2017/7/21
90,AAPL170721P00090000,0.11,0.1,0.12,0,0.00%,23,"1,333",29.59%,Put,2017/7/21
95,AAPL170721P00095000,0.18,0.15,0.19,-0.02,-10.00%,23,"2,783",28.03%,Put,2017/7/21
100,AAPL170721P00100000,0.28,0.27,0.29,-0.03,-9.68%,59,"2,778",26.37%,Put,2017/7/21
105,AAPL170721P00105000,0.46,0.44,0.47,-0.03,-6.12%,7,"4,019",25.07%,Put,2017/7/21
110,AAPL170721P00110000,0.74,0.71,0.75,-0.03,-3.90%,679,"7,431",23.83%,Put,2017/7/21
115,AAPL170721P00115000,1.18,1.14,1.18,-0.08,-6.35%,154,"12,596",22.63%,Put,2017/7/21
120,AAPL170721P00120000,1.88,1.82,1.87,-0.11,-5.53%,92,"4,867",21.67%,Put,2017/7/21
125,AAPL170721P00125000,2.91,2.87,2.92,-0.14,-4.59%,170,"3,767",20.87%,Put,2017/7/21
130,AAPL170721P00130000,4.5,4.4,4.5,-0.15,-3.23%,112,"7,304",20.40%,Put,2017/7/21
135,AAPL170721P00135000,6.56,6.45,6.6,-0.24,-3.53%,145,"2,306",19.91%,Put,2017/7/21
140,AAPL170721P00140000,9.35,9.15,9.3,-0.17,-1.79%,27,883,19.54%,Put,2017/7/21
145,AAPL170721P00145000,12.75,12.45,12.6,-0.15,-1.16%,14,636,19.35%,Put,2017/7/21
150,AAPL170721P00150000,17,16.25,16.5,0,0.00%,215,326,19.62%,Put,2017/7/21
155,AAPL170721P00155000,20.39,20.65,21,-1.86,-8.36%,8,11,21.05%,Put,2017/7/21
160,AAPL170721P00160000,25.31,24.95,25.4,-0.19,-0.75%,2,30,21.16%,Put,2017/7/21
170,AAPL170721P00170000,38.7,37.75,38.5,0,0.00%,5,22,40.27%,Put,2017/7/21
180,AAPL170721P00180000,47.87,47.65,48.4,0,0.00%,55,0,45.52%,Put,2017/7/21
195,AAPL170721P00195000,82.35,0,0,0,0.00%,0,0,0.00%,Put,2017/7/21
200,AAPL170721P00200000,79.05,71.1,71.9,0,0.00%,2,106,67.25%,Put,2017/7/21
215,AAPL170721P00215000,101.4,0,0,0,0.00%,0,0,0.00%,Put,2017/7/21
220,AAPL170721P00220000,100.3,98.7,102.25,0,0.00%,10,10,105.76%,Put,2017/7/21
230,AAPL170721P00230000,98.45,97.55,98.3,0,0.00%,10,10,64.88%,Put,2017/7/21
